item
옷
가방
가이드북
건전지
신용카드
신발
마스크
머리끈
벌레 퇴치 스프레이
모기향
모자
여권 사본
여권
여권 사진
여행 일정표
비상 연락망
보조배터리
변환 어댑터
백팩
백신 접종증명서
물병
여행자 보험
USIM
포켓 와이파이
지갑
지도
신분증
현지화폐
항공권
종합감기약
소화제
소염제
진통제
반창고
소독약
연고
멀미약
항생제
여성위생용품
잠옷
속옷
양말
선글라스
슬리퍼
운동화
수영복
담요
카메라
충전기
이어폰
여분 케이블
SD 카드
삼각대
멀티어뎁터
고데기
화장품
썬크림
면도기
수건
면봉
비옷
우산
비자
타올
샌들
세면 용품
세탁 용품
파우치
손 세정제
휴지
손수건
손톱깎이
손전등
숙소 예약 확인서
티켓
우비
운전 면허증
일정표
비닐봉지
지퍼백
휴대폰
필기도구
캐리어
스킨
로션
에센스
롤
샴푸
린스
칫솔
치약
폼클렌징
면도기
비누
컵라면
물티슈
가그린
동전지갑
충전케이블
향수
