activity
서핑
산책
축제
요가
스노클링
자전거
쇼핑
피크닉
스파
유람선
와인 시음
트레킹
캠핑
탐방
스카이다이빙
역사 탐방
조깅
고고학 탐방
사진
골프
헌팅
바베큐
헬리콥터
오토바이
카페
보트
사파리
수상 스키
승마
맛집 탐방
스쿠버다이빙
가드닝
클라이밍
축구
야구
배구
당구
워터파크
호캉스
수상 비행기
피부 관리
열기구
고래 관람
사격
케이블카
요트
주짓수
스케이트보드
스노우보딩
하이킹
영화 촬영지
산악 자전거
극장
연주회
거리 탐방
패러글라이딩
글라이딩
전시회
댄스
종교
등산
수상 보드
유적지
건축물 관람
박물관
현지 요리 체험
힐링
수영
온천
산림욕
동물원
태권도
낚시
전통 공예 체험
미술관
콘서트
경기 관람
마라톤
미니 골프
카누
사냥
테니스
해저 탐험
다이빙
식물원
레이싱
놀이공원
화산 탐사
오로라 관람
동굴 탐험
농장
은하수 관측
봉사활동
명상
서바이벌
스노우모빌
빙하 탐험
전통 체험
탁구
농구
플라잉디스크
알고리즘 문제풀기
라크로스
하키
아쿠아리움
뮤지컬
공연
마사지
의료
