countryCode:ID,countryName,:LABEL
PHL,필리핀,COUNTRY
HUN,헝가리,COUNTRY
AUS,호주,COUNTRY
MAC,마카오,COUNTRY
GUM,괌,COUNTRY
YUG,세르비아,COUNTRY
KOR,대한민국,COUNTRY
PRI,푸에르토리코,COUNTRY
TWN,대만,COUNTRY
HKG,홍콩,COUNTRY
